mean_prob,observed_rate,n,model
0.0009403499425388873,0.014705882352941176,884,XGBoost__tabular_plus_graph_plus_node2vec
0.002316015772521496,0.0667420814479638,884,XGBoost__tabular_plus_graph_plus_node2vec
0.007942157797515392,0.0746606334841629,884,XGBoost__tabular_plus_graph_plus_node2vec
0.038276925683021545,0.042986425339366516,884,XGBoost__tabular_plus_graph_plus_node2vec
0.1464117467403412,0.029411764705882353,884,XGBoost__tabular_plus_graph_plus_node2vec
0.5970897674560547,0.2319004524886878,884,XGBoost__tabular_plus_graph_plus_node2vec
0.002507495827420526,0.000968054211035818,1033,ExtraTrees__all_features
0.009142711306255078,0.005076142131979695,788,ExtraTrees__all_features
0.01504430612551186,0.006002400960384154,833,ExtraTrees__all_features
0.02184441843814512,0.006795016987542469,883,ExtraTrees__all_features
0.029924738112092168,0.025959367945823927,886,ExtraTrees__all_features
0.040240834881692146,0.02834467120181406,882,ExtraTrees__all_features
0.05388255833304859,0.03506787330316742,884,ExtraTrees__all_features
0.07242044778493162,0.06108597285067873,884,ExtraTrees__all_features
0.10484638886400402,0.053167420814479636,884,ExtraTrees__all_features
0.3771161040466711,0.2398190045248869,884,ExtraTrees__all_features
3.3633259043380206e-05,0.0,885,HistGradientBoosting__all_features
4.907808898852641e-05,0.0,884,HistGradientBoosting__all_features
7.313715065996813e-05,0.0,884,HistGradientBoosting__all_features
0.00011336221118423398,0.0011312217194570137,884,HistGradientBoosting__all_features
0.00019599673357578653,0.0011312217194570137,884,HistGradientBoosting__all_features
0.0004439880055855,0.027149321266968326,884,HistGradientBoosting__all_features
0.00186961250648027,0.12104072398190045,884,HistGradientBoosting__all_features
0.009722631993636073,0.05995475113122172,884,HistGradientBoosting__all_features
0.05513502113431798,0.02262443438914027,884,HistGradientBoosting__all_features
0.5067523831947836,0.22850678733031674,884,HistGradientBoosting__all_features
5.95415840507485e-05,0.0,885,XGBoost__all_features
0.0001750530645949766,0.0,884,XGBoost__all_features
0.0003501407045405358,0.0,884,XGBoost__all_features
0.0006196741596795619,0.0022624434389140274,884,XGBoost__all_features
0.0012153788702562451,0.01809954751131222,884,XGBoost__all_features
0.003050761530175805,0.06108597285067873,884,XGBoost__all_features
0.010727329179644585,0.08144796380090498,884,XGBoost__all_features
0.051260918378829956,0.038461538461538464,884,XGBoost__all_features
0.1835731714963913,0.030542986425339366,884,XGBoost__all_features
0.6533610224723816,0.22963800904977374,884,XGBoost__all_features
0.0025205903220921755,0.0011299435028248588,885,GCN
0.01683874987065792,0.003393665158371041,884,GCN
0.03439779952168465,0.011312217194570135,884,GCN
0.054981350898742676,0.010180995475113122,884,GCN
0.08191250264644623,0.023755656108597284,884,GCN
0.12917810678482056,0.04638009049773756,884,GCN
0.21503986418247223,0.057692307692307696,884,GCN
0.3474247455596924,0.049773755656108594,884,GCN
0.5312542915344238,0.06334841628959276,884,GCN
0.7813519835472107,0.19457013574660634,884,GCN
0.1557781994342804,0.0011299435028248588,885,GraphSAGE
0.37516719102859497,0.012443438914027148,884,GraphSAGE
0.49265816807746887,0.03619909502262444,884,GraphSAGE
0.5578858256340027,0.007918552036199095,884,GraphSAGE
0.6008673906326294,0.01583710407239819,884,GraphSAGE
0.6380754709243774,0.021493212669683258,884,GraphSAGE
0.6707860827445984,0.03733031674208145,884,GraphSAGE
0.6993456482887268,0.06221719457013575,884,GraphSAGE
0.7285067439079285,0.06787330316742081,884,GraphSAGE
0.7658843398094177,0.19909502262443438,884,GraphSAGE
0.32500335574150085,0.0022598870056497176,885,ResidualGCN
0.4378773272037506,0.004524886877828055,884,ResidualGCN
0.4698598086833954,0.005656108597285068,884,ResidualGCN
0.48792436718940735,0.020361990950226245,884,ResidualGCN
0.5009506940841675,0.03619909502262444,884,ResidualGCN
0.5111631751060486,0.024886877828054297,884,ResidualGCN
0.5204707980155945,0.04751131221719457,884,ResidualGCN
0.5304363369941711,0.07352941176470588,884,ResidualGCN
0.5409567356109619,0.11312217194570136,884,ResidualGCN
0.5538169741630554,0.1334841628959276,884,ResidualGCN
0.07466547191143036,0.0022598870056497176,885,GATLite
0.29474958777427673,0.012443438914027148,884,GATLite
0.4476795792579651,0.027149321266968326,884,GATLite
0.5467432737350464,0.026018099547511313,884,GATLite
0.620585560798645,0.029411764705882353,884,GATLite
0.6731052994728088,0.02262443438914027,884,GATLite
0.712961733341217,0.03619909502262444,884,GATLite
0.7466955184936523,0.06108597285067873,884,GATLite
0.7799953818321228,0.07805429864253394,884,GATLite
0.8208763003349304,0.166289592760181,884,GATLite
0.348560631275177,0.0,885,StrictTemporalGCN
0.4928703010082245,0.006787330316742082,884,StrictTemporalGCN
0.534640908241272,0.006787330316742082,884,StrictTemporalGCN
