model,policy,threshold,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,bootstrap_resamples,tp,fp,tn,fn
HistGradientBoosting,validation_precision_at_least_90pct,0.5502049675387369,predicted_positive_rate,0.0332541567695962,0.02963465671304151,0.037326094333220226,8841,1000,196,98,8335,212
MLP,default_0_50,0.5,accuracy,0.9642574369415224,0.9602986087546658,0.9684424838819138,8841,1000,117,25,8408,291
MLP,default_0_50,0.5,precision,0.823943661971831,0.7567354756331135,0.8804388384166126,8841,1000,117,25,8408,291
MLP,default_0_50,0.5,recall,0.2867647058823529,0.24444691412906572,0.33158245189244295,8841,1000,117,25,8408,291
MLP,default_0_50,0.5,f1,0.4254545454545455,0.37431288467359497,0.4756564060549313,8841,1000,117,25,8408,291
MLP,default_0_50,0.5,false_positives_per_true_positive,0.21367521367521367,0.13579723791588197,0.3214657738095238,8841,1000,117,25,8408,291
MLP,default_0_50,0.5,predicted_positive_rate,0.01606153150096143,0.013573125212080081,0.018549937789842777,8841,1000,117,25,8408,291
MLP,validation_max_f1,0.2902681827545166,accuracy,0.9664065151001018,0.9627870150435471,0.9703681710213776,8841,1000,170,59,8374,238
MLP,validation_max_f1,0.2902681827545166,precision,0.74235807860262,0.6837494131722018,0.8008303150713834,8841,1000,170,59,8374,238
MLP,validation_max_f1,0.2902681827545166,recall,0.4166666666666667,0.37036803806325214,0.46517962098813803,8841,1000,170,59,8374,238
MLP,validation_max_f1,0.2902681827545166,f1,0.533751962323391,0.48538506742546084,0.5791081336831692,8841,1000,170,59,8374,238
MLP,validation_max_f1,0.2902681827545166,false_positives_per_true_positive,0.34705882352941175,0.24870397784905557,0.4625243553939078,8841,1000,170,59,8374,238
MLP,validation_max_f1,0.2902681827545166,predicted_positive_rate,0.025902047279719488,0.022845266372582287,0.02929532858273951,8841,1000,170,59,8374,238
MLP,top_5pct_budget,0.5601601600646973,accuracy,0.9627870150435471,0.9589412962334578,0.9668589526071711,8841,1000,97,18,8415,311
MLP,top_5pct_budget,0.5601601600646973,precision,0.8434782608695652,0.7702635135135135,0.9019727403156385,8841,1000,97,18,8415,311
MLP,top_5pct_budget,0.5601601600646973,recall,0.23774509803921567,0.19621636295768435,0.27747674622674623,8841,1000,97,18,8415,311
